price;title;category_id;base_price;initial_quantity;condition;date_created;city;state;country
131370;Google Chromecast 4 Generación Con Google Tv Blanco;MLA352001;131370;140;new;2025-02-27T13:07:27.019Z;Córdoba;Córdoba;Argentina
137855;Google Chromecast 4k Chromecast With Google Tv Ga01919-us De Voz 4.ª Generación 4k 8gb Sky Con 2gb De Memoria Ram;MLA352001;137855;159;new;2025-03-18T19:01:36.180Z;Villa Devoto;Capital Federal;Argentina
129585;Mi Tv Stick Xiaomi 4k Mdz-27-eu 2.ª Generación Color Negro;MLA352001;129585;89;new;2025-03-17T15:39:53.329Z;Villa Devoto;Capital Federal;Argentina
82246;Smart Tv Onn Uhd Streaming Device 2° Gen 4k Color Negro;MLA352001;82246;53;new;2025-03-18T22:09:40.167Z;Lanús;Buenos Aires;Argentina
68900;Onn Google Tv Fhd Streaming Stick 2da Generación 8gb 1.5gb Ram Color Negro Control Remoto De Voz;MLA352001;68900;629;new;2024-10-08T18:42:36.364Z;Recoleta;Capital Federal;Argentina
154499;Chromecast Google Ga03131 Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hdmi 4ta Gen Blanco;MLA352001;154499;154;new;2025-02-05T13:02:34.788Z;Córdoba;Córdoba;Argentina
76000;Xiaomi Mi Tv Stick Full Hd 8gb Chromecast Streaming Con Control Color Negro;MLA352001;76000;153;new;2024-05-18T02:21:31.585Z;Campo Viera;Misiones;Argentina
63000;Tv Box 4k Hdmi Android --el Más Rápido-- 32gb Ram/512gb Rom Estándar;MLA352001;63000;100;new;2025-03-19T23:01:02.052Z;La Matanza;Buenos Aires;Argentina
145498;Chromecast With Google Tv De Voz 4ª Generación 4k 8gb Snow Con 2gb De Memoria Ram;MLA352001;145498;10;new;2025-03-18T22:44:29.822Z;Chacarita;Capital Federal;Argentina
152000;Chromecast Ga01919-us Google 4 Generación 4k 8gb Con 2gb De Memoria Ram;MLA352001;152000;100;new;2025-01-30T18:45:05.709Z;Núñez;Capital Federal;Argentina
220000;Google Tv Streamer 4k Netflix Hdr 2024 Androidtv Color Blanco Tipo De Control Remoto De Voz;MLA352001;220000;5;new;2025-03-19T14:41:09.361Z;Balvanera;Capital Federal;Argentina
145000;Chromecast tv Gen 4 - 4k Hdr. Wifi+bth+c. Remoto;MLA352001;145000;170;new;2025-02-06T15:17:47.129Z;Belgrano;Capital Federal;Argentina
89999;Control De Voz Xiaomi Mi Tv Stick Full Hd De 8 Gb Y 1 Gb De Ram;MLA352001;89999;153;new;2025-01-31T17:32:56.472Z;Lomas de Zamora;Buenos Aires;Argentina
89990;Tv Box Smart Z8pro 32gb El Mas Rapido Full Apps!!;MLA352001;89990;553;new;2024-11-02T00:24:25.860Z;Ezeiza;Buenos Aires;Argentina
75000;Tv Box 4k Hdmi Android  --el Más Rápido-- 32gb Ram/512gb Rom Estándar;MLA352001;75000;263;new;2025-03-14T02:04:16.031Z;Berazategui;Buenos Aires;Argentina
89799;Smart Tv Onn Uhd Streaming Device 2° Gen 4k Color Negro;MLA352001;89799;81;new;2025-01-28T14:56:48.094Z;Puerto Madero;Capital Federal;Argentina
211469.0;Google Chromecast Ultra 4k Negro;MLA352001;211469.0;2;new;2024-08-27T14:03:07.530Z;El Palomar;Buenos Aires;Argentina
99799.0;Tv Box Gadnic Android 10.0 Hdmi 4k Chromecast Full Hd Color Negro Tipo De Control Remoto Estándar;MLA352001;99799.0;132;new;2025-02-24T14:37:58.638Z;Villa Ortúzar;Capital Federal;Argentina
145000;Chromecast Google Tv Hd 8gb 2gb Ram Hdmi 4ta Generacion;MLA352001;145000;403;new;2024-09-04T17:20:25.977Z;Núñez;Capital Federal;Argentina
59990;Watch Om Tv Stick Convertidor Smart Tv 8gb 128gb Google Tv Negro Estándar;MLA352001;59990;111;new;2025-02-18T14:48:25.702Z;Recoleta;Capital Federal;Argentina
59990;Smart Tv Stick Watch Om S905 - 8gb Ram, 128gb Almacenamiento Negro Estándar;MLA352001;59990;104;new;2025-02-18T14:07:42.620Z;Recoleta;Capital Federal;Argentina
29999;Anycast Mirascreen M9 Plus Netflix Flow Smart Tv Chromecast Wifi 2.4g Negro;MLA352001;29999;16;new;2025-03-17T16:17:58.195Z;devoto;Capital Federal;Argentina
199900.0;Google Chromecast Hd;MLA352001;199900.0;368;new;2023-12-11T21:33:53.994Z;Adrogué;Buenos Aires;Argentina
